id,name,age,salary,hire_date,profile,department,bonus
32,Name_161,38.0,50000,2018-04-03,"{""address"": ""Street 41, City 33"", ""phone"": ""5512415143"", ""email"": ""email_93@example.com""}",Finance,9632.0
33,Name_460,50.0,70000,2019-06-13,"{""address"": ""Street 9, City 37"", ""phone"": ""2683288100"", ""email"": ""email_240@example.com""}",Finance,
34,Name_314,41.0,,2024-03-11,"{""address"": ""Street 46, City 45"", ""phone"": ""6935813214"", ""email"": ""email_13@example.com""}",Marketing,3158.0
35,Name_22,70.0,50000,2019-11-28,"{""address"": ""Street 48, City 46"", ""phone"": ""5910488901"", ""email"": ""email_79@example.com""}",IT,4438.0
36,Name_253,61.0,50000,2018-03-23,"{""address"": ""Street 69, City 38"", ""phone"": ""4722263376"", ""email"": ""email_284@example.com""}",IT,9599.0
37,Name_748,59.0,70000,2021-10-06,"{""address"": ""Street 54, City 13"", ""phone"": ""6468827188"", ""email"": ""email_907@example.com""}",HR,
38,Name_857,51.0,,2017-05-01,"{""address"": ""Street 33, City 10"", ""phone"": ""1163069174"", ""email"": ""email_64@example.com""}",HR,
39,Name_561,77.0,,2025-06-09,"{""address"": ""Street 8, City 1"", ""phone"": ""1489377469"", ""email"": ""email_904@example.com""}",Finance,7141.0
40,Name_475,26.0,,2020-11-30,"{""address"": ""Street 16, City 19"", ""phone"": ""3600166282"", ""email"": ""email_982@example.com""}",Marketing,4579.0
41,Name_59,19.0,50000,2019-12-30,"{""address"": ""Street 2, City 23"", ""phone"": ""8188955657"", ""email"": ""email_730@example.com""}",Marketing,3085.0
42,Name_511,72.0,,,"{""address"": ""Street 98, City 18"", ""phone"": ""1412129886"", ""email"": ""email_292@example.com""}",HR,1970.0
43,Name_682,73.0,50000,2017-10-29,,HR,5369.0
44,Name_476,47.0,,2021-05-09,"{""address"": ""Street 28, City 2"", ""phone"": ""5405753800"", ""email"": ""email_559@example.com""}",Marketing,2473.0
45,Name_700,,60000,2024-01-12,"{""address"": ""Street 37, City 47"", ""phone"": ""7247028266"", ""email"": ""email_414@example.com""}",Marketing,8850.0
46,Name_976,63.0,70000,2016-07-12,"{""address"": ""Street 23, City 38"", ""phone"": ""7278100920"", ""email"": ""email_311@example.com""}",Finance,3983.0
47,Name_783,28.0,,2016-06-19,"{""address"": ""Street 54, City 5"", ""phone"": ""6053046371"", ""email"": ""email_475@example.com""}",Marketing,8189.0
48,Name_190,72.0,50000,2023-04-10,"{""address"": ""Street 1, City 47"", ""phone"": ""2439719332"", ""email"": ""email_332@example.com""}",IT,7109.0
49,Name_958,60.0,70000,2023-01-26,"{""address"": ""Street 40, City 21"", ""phone"": ""2072016321"", ""email"": ""email_485@example.com""}",Marketing,1908.0
50,Name_687,34.0,50000,2021-01-24,"{""address"": ""Street 93, City 31"", ""phone"": ""2707499028"", ""email"": ""email_344@example.com""}",,7367.0
51,Name_958,53.0,70000,2022-01-15,"{""address"": ""Street 48, City 39"", ""phone"": ""5060728527"", ""email"": ""email_735@example.com""}",Marketing,2120.0
52,Name_563,30.0,50000,2015-10-16,"{""address"": ""Street 90, City 22"", ""phone"": ""3392704239"", ""email"": ""email_664@example.com""}",HR,9002.0
53,Name_876,24.0,,2025-09-10,"{""address"": ""Street 78, City 4"", ""phone"": ""6948479877"", ""email"": ""email_599@example.com""}",HR,
54,Name_567,33.0,60000,2020-05-22,"{""address"": ""Street 38, City 34"", ""phone"": ""8865680249"", ""email"": ""email_118@example.com""}",,5669.0
55,Name_244,50.0,60000,2022-09-11,"{""address"": ""Street 16, City 47"", ""phone"": ""7443854649"", ""email"": ""email_5@example.com""}",IT,
56,Name_832,62.0,60000,2017-09-11,"{""address"": ""Street 88, City 20"", ""phone"": ""3927736124"", ""email"": ""email_900@example.com""}",Marketing,8025.0
57,Name_505,18.0,,2024-03-15,"{""address"": ""Street 16, City 39"", ""phone"": ""2691531635"", ""email"": ""email_154@example.com""}",Marketing,4496.0
58,Name_131,28.0,70000,2018-02-16,"{""address"": ""Street 87, City 11"", ""phone"": ""8389117586"", ""email"": ""email_561@example.com""}",,9415.0
59,Name_485,23.0,,2017-10-28,"{""address"": ""Street 58, City 3"", ""phone"": ""4190109137"", ""email"": ""email_549@example.com""}",Finance,1520.0
60,Name_819,37.0,,2024-06-30,"{""address"": ""Street 100, City 20"", ""phone"": ""2900992771"", ""email"": ""email_273@example.com""}",Finance,7963.0
61,Name_647,52.0,50000,2017-10-09,"{""address"": ""Street 25, City 37"", ""phone"": ""4460898929"", ""email"": ""email_90@example.com""}",IT,3115.0
62,Name_21,61.0,60000,2022-03-01,"{""address"": ""Street 35, City 38"", ""phone"": ""3263925311"", ""email"": ""email_797@example.com""}",Marketing,7029.0
63,Name_841,54.0,50000,2017-10-31,"{""address"": ""Street 96, City 4"", ""phone"": ""5441880784"", ""email"": ""email_735@example.com""}",Marketing,1745.0
64,Name_167,58.0,70000,2016-12-01,"{""address"": ""Street 85, City 44"", ""phone"": ""9859644000"", ""email"": ""email_481@example.com""}",Marketing,
65,Name_274,43.0,60000,2019-08-20,"{""address"": ""Street 67, City 40"", ""phone"": ""7883363955"", ""email"": ""email_433@example.com""}",HR,1556.0
66,Name_388,75.0,50000,2017-10-24,"{""address"": ""Street 16, City 20"", ""phone"": ""7165200368"", ""email"": ""email_534@example.com""}",Finance,5059.0
67,Name_601,29.0,70000,2021-09-13,"{""address"": ""Street 20, City 16"", ""phone"": ""4723187677"", ""email"": ""email_294@example.com""}",,7815.0
68,Name_316,79.0,60000,2016-07-05,"{""address"": ""Street 33, City 22"", ""phone"": ""5663276209"", ""email"": ""email_742@example.com""}",HR,4768.0
69,Name_14,47.0,,2019-07-17,"{""address"": ""Street 88, City 48"", ""phone"": ""5327032346"", ""email"": ""email_137@example.com""}",HR,4261.0
70,Name_242,45.0,70000,2020-08-01,,Finance,4590.0
71,Name_777,44.0,,2022-06-24,"{""address"": ""Street 6, City 7"", ""phone"": ""4576829208"", ""email"": ""email_129@example.com""}",Marketing,8208.0
72,Name_346,59.0,70000,2022-12-29,"{""address"": ""Street 16, City 11"", ""phone"": ""2417073985"", ""email"": ""email_164@example.com""}",IT,8520.0
73,Name_565,36.0,60000,2024-05-07,"{""address"": ""Street 28, City 40"", ""phone"": ""2890459678"", ""email"": ""email_246@example.com""}",,7122.0
74,Name_898,22.0,50000,2023-11-05,"{""address"": ""Street 89, City 22"", ""phone"": ""5305818274"", ""email"": ""email_845@example.com""}",Finance,1151.0
75,Name_340,75.0,50000,2022-06-02,"{""address"": ""Street 85, City 44"", ""phone"": ""7271985835"", ""email"": ""email_854@example.com""}",IT,9819.0
76,Name_92,22.0,50000,2018-12-28,"{""address"": ""Street 4, City 46"", ""phone"": ""1202889646"", ""email"": ""email_540@example.com""}",Finance,
77,Name_367,58.0,50000,,"{""address"": ""Street 49, City 20"", ""phone"": ""1964567626"", ""email"": ""email_301@example.com""}",Finance,5875.0
78,Name_956,44.0,70000,2025-08-26,"{""address"": ""Street 58, City 47"", ""phone"": ""1256468180"", ""email"": ""email_895@example.com""}",Finance,8220.0
79,Name_455,45.0,50000,2021-02-27,"{""address"": ""Street 56, City 38"", ""phone"": ""6595803895"", ""email"": ""email_283@example.com""}",Finance,1925.0
80,Name_428,43.0,50000,2023-07-06,"{""address"": ""Street 64, City 17"", ""phone"": ""2970137974"", ""email"": ""email_588@example.com""}",Marketing,4131.0
81,Name_509,44.0,70000,2017-08-09,"{""address"": ""Street 9, City 33"", ""phone"": ""7324680270"", ""email"": ""email_221@example.com""}",HR,8744.0
82,Name_776,69.0,70000,2024-03-10,"{""address"": ""Street 84, City 17"", ""phone"": ""1603516263"", ""email"": ""email_222@example.com""}",Finance,4419.0
83,Name_943,66.0,60000,2019-12-05,,IT,7883.0
84,Name_35,59.0,70000,2022-04-21,"{""address"": ""Street 32, City 6"", ""phone"": ""2244583316"", ""email"": ""email_597@example.com""}",IT,2053.0
85,Name_206,38.0,,2017-12-30,"{""address"": ""Street 38, City 42"", ""phone"": ""7870337417"", ""email"": ""email_568@example.com""}",IT,
86,Name_81,18.0,60000,2023-05-18,"{""address"": ""Street 37, City 21"", ""phone"": ""6096851022"", ""email"": ""email_708@example.com""}",HR,
87,Name_932,71.0,60000,2017-11-30,"{""address"": ""Street 14, City 17"", ""phone"": ""3707761947"", ""email"": ""email_749@example.com""}",HR,9263.0
88,Name_562,45.0,50000,2016-07-04,"{""address"": ""Street 29, City 16"", ""phone"": ""6776502705"", ""email"": ""email_840@example.com""}",IT,5858.0
89,Name_872,65.0,50000,2020-05-18,"{""address"": ""Street 7, City 18"", ""phone"": ""2913737523"", ""email"": ""email_378@example.com""}",Marketing,7136.0
90,Name_388,75.0,,2017-07-23,"{""address"": ""Street 99, City 31"", ""phone"": ""7313669415"", ""email"": ""email_182@example.com""}",HR,1774.0
91,Name_2,75.0,50000,,"{""address"": ""Street 33, City 36"", ""phone"": ""4646810027"", ""email"": ""email_157@example.com""}",HR,1810.0
92,Name_390,32.0,70000,2022-09-15,"{""address"": ""Street 88, City 43"", ""phone"": ""3386641846"", ""email"": ""email_930@example.com""}",Marketing,5446.0
93,Name_566,72.0,,2023-03-28,"{""address"": ""Street 18, City 43"", ""phone"": ""9040847182"", ""email"": ""email_330@example.com""}",Finance,6344.0
94,Name_106,34.0,50000,2019-05-26,"{""address"": ""Street 53, City 41"", ""phone"": ""9608528644"", ""email"": ""email_664@example.com""}",HR,1881.0
95,Name_772,43.0,,2016-05-20,"{""address"": ""Street 72, City 34"", ""phone"": ""2733121593"", ""email"": ""email_526@example.com""}",IT,
96,Name_822,37.0,70000,2018-10-31,,IT,1617.0
97,Name_477,42.0,60000,2025-05-24,"{""address"": ""Street 91, City 45"", ""phone"": ""4734602373"", ""email"": ""email_771@example.com""}",Marketing,6379.0
98,Name_703,30.0,,2023-11-21,,IT,9299.0
99,Name_402,50.0,,2021-03-31,,,2030.0
100,Name_730,42.0,60000,2020-07-01,,IT,4603.0
101,Name_556,25.0,,2016-01-10,"{""address"": ""Street 71, City 15"", ""phone"": ""1838435809"", ""email"": ""email_364@example.com""}",Marketing,4057.0
102,Name_162,22.0,50000,,"{""address"": ""Street 67, City 32"", ""phone"": ""4572974498"", ""email"": ""email_918@example.com""}",Marketing,4379.0
103,Name_202,23.0,50000,2024-12-17,"{""address"": ""Street 13, City 44"", ""phone"": ""4629274080"", ""email"": ""email_47@example.com""}",Marketing,1914.0
104,Name_958,40.0,50000,2022-09-10,"{""address"": ""Street 79, City 19"", ""phone"": ""7283239659"", ""email"": ""email_21@example.com""}",,1711.0
105,Name_996,69.0,,2025-05-28,"{""address"": ""Street 40, City 18"", ""phone"": ""3065712378"", ""email"": ""email_691@example.com""}",HR,2584.0
106,Name_270,47.0,60000,2025-08-30,"{""address"": ""Street 23, City 19"", ""phone"": ""3391140042"", ""email"": ""email_505@example.com""}",Finance,2178.0
107,Name_863,31.0,50000,2019-08-10,"{""address"": ""Street 41, City 44"", ""phone"": ""7339867997"", ""email"": ""email_724@example.com""}",IT,
108,Name_816,71.0,60000,2018-03-29,"{""address"": ""Street 18, City 36"", ""phone"": ""5053248784"", ""email"": ""email_182@example.com""}",HR,5686.0
109,Name_271,40.0,70000,2023-07-05,"{""address"": ""Street 60, City 24"", ""phone"": ""2747423492"", ""email"": ""email_298@example.com""}",Marketing,9937.0
110,Name_456,28.0,70000,2021-01-27,"{""address"": ""Street 61, City 5"", ""phone"": ""8546205559"", ""email"": ""email_206@example.com""}",HR,5911.0
111,Name_462,48.0,70000,2019-11-05,"{""address"": ""Street 76, City 10"", ""phone"": ""5597057558"", ""email"": ""email_40@example.com""}",HR,3966.0
112,Name_727,23.0,,2020-11-23,"{""address"": ""Street 47, City 16"", ""phone"": ""7812982637"", ""email"": ""email_375@example.com""}",,3281.0
113,Name_252,28.0,,2019-10-21,"{""address"": ""Street 30, City 9"", ""phone"": ""8827379954"", ""email"": ""email_481@example.com""}",Marketing,9501.0
114,Name_702,30.0,50000,2016-06-27,"{""address"": ""Street 30, City 31"", ""phone"": ""4710832082"", ""email"": ""email_462@example.com""}",Marketing,6801.0
115,Name_296,29.0,70000,2021-05-22,"{""address"": ""Street 86, City 1"", ""phone"": ""3887350720"", ""email"": ""email_114@example.com""}",IT,6968.0
116,Name_725,,60000,2019-01-25,"{""address"": ""Street 50, City 4"", ""phone"": ""6510264551"", ""email"": ""email_741@example.com""}",IT,2268.0
117,Name_720,19.0,,2016-09-04,"{""address"": ""Street 51, City 42"", ""phone"": ""6404521598"", ""email"": ""email_98@example.com""}",IT,7660.0
118,Name_749,70.0,60000,2016-05-19,"{""address"": ""Street 15, City 7"", ""phone"": ""4121740734"", ""email"": ""email_95@example.com""}",IT,2824.0
119,Name_338,52.0,60000,2020-11-20,"{""address"": ""Street 78, City 27"", ""phone"": ""1717820690"", ""email"": ""email_916@example.com""}",HR,1152.0
120,Name_879,72.0,50000,,"{""address"": ""Street 89, City 12"", ""phone"": ""2899498864"", ""email"": ""email_230@example.com""}",HR,7104.0
121,Name_53,53.0,50000,2020-10-31,"{""address"": ""Street 11, City 28"", ""phone"": ""5598197155"", ""email"": ""email_823@example.com""}",IT,4896.0
122,Name_792,34.0,60000,2022-05-25,"{""address"": ""Street 31, City 31"", ""phone"": ""6132945132"", ""email"": ""email_422@example.com""}",IT,6380.0
123,Name_922,45.0,60000,2023-05-06,"{""address"": ""Street 14, City 25"", ""phone"": ""2984261298"", ""email"": ""email_778@example.com""}",IT,6362.0
124,Name_217,45.0,60000,2016-01-26,"{""address"": ""Street 81, City 40"", ""phone"": ""9980137383"", ""email"": ""email_695@example.com""}",Finance,
125,Name_764,39.0,60000,2018-05-11,"{""address"": ""Street 95, City 37"", ""phone"": ""5091417425"", ""email"": ""email_868@example.com""}",IT,2582.0
126,Name_188,55.0,70000,2024-07-02,"{""address"": ""Street 46, City 36"", ""phone"": ""5412905191"", ""email"": ""email_536@example.com""}",Finance,8602.0
127,Name_380,24.0,60000,2025-08-05,"{""address"": ""Street 85, City 14"", ""phone"": ""9239819293"", ""email"": ""email_3@example.com""}",IT,
128,Name_493,,,2024-07-26,"{""address"": ""Street 21, City 49"", ""phone"": ""1325727710"", ""email"": ""email_614@example.com""}",Marketing,4475.0
129,Name_41,49.0,50000,2023-05-29,"{""address"": ""Street 100, City 4"", ""phone"": ""6230350699"", ""email"": ""email_552@example.com""}",,2388.0
130,Name_157,28.0,,2017-12-26,"{""address"": ""Street 95, City 12"", ""phone"": ""8790534387"", ""email"": ""email_842@example.com""}",HR,
131,Name_15,41.0,50000,2025-06-20,"{""address"": ""Street 6, City 3"", ""phone"": ""6528345107"", ""email"": ""email_140@example.com""}",Marketing,4470.0
132,Name_813,20.0,50000,2025-08-23,,,2764.0
133,Name_65,47.0,50000,2022-02-17,"{""address"": ""Street 78, City 29"", ""phone"": ""6395914233"", ""email"": ""email_171@example.com""}",Finance,1450.0
134,Name_857,23.0,,2020-08-13,"{""address"": ""Street 95, City 34"", ""phone"": ""1003900896"", ""email"": ""email_334@example.com""}",HR,1152.0
135,Name_839,75.0,,2015-10-12,"{""address"": ""Street 95, City 30"", ""phone"": ""1693012064"", ""email"": ""email_257@example.com""}",Finance,4513.0
136,Name_521,19.0,60000,2016-02-23,"{""address"": ""Street 86, City 25"", ""phone"": ""4588616068"", ""email"": ""email_879@example.com""}",Finance,2679.0
137,Name_344,78.0,60000,2020-12-16,,HR,1718.0
138,Name_129,31.0,70000,2024-01-06,"{""address"": ""Street 17, City 9"", ""phone"": ""3923140052"", ""email"": ""email_856@example.com""}",,2984.0
139,Name_648,58.0,70000,2023-11-05,"{""address"": ""Street 19, City 42"", ""phone"": ""3899181865"", ""email"": ""email_645@example.com""}",HR,3866.0
140,Name_472,35.0,70000,2022-08-08,,IT,6065.0
141,Name_63,68.0,60000,2019-03-23,"{""address"": ""Street 16, City 24"", ""phone"": ""8784374749"", ""email"": ""email_812@example.com""}",Finance,8627.0
142,Name_139,61.0,,2021-01-26,"{""address"": ""Street 80, City 4"", ""phone"": ""4624244775"", ""email"": ""email_83@example.com""}",IT,4342.0
143,Name_499,48.0,70000,2019-04-18,"{""address"": ""Street 47, City 26"", ""phone"": ""2681659263"", ""email"": ""email_121@example.com""}",HR,7043.0
144,Name_593,30.0,60000,2016-06-23,"{""address"": ""Street 47, City 1"", ""phone"": ""2053820467"", ""email"": ""email_578@example.com""}",HR,9092.0
145,Name_392,43.0,50000,2016-01-10,"{""address"": ""Street 47, City 26"", ""phone"": ""6347299433"", ""email"": ""email_951@example.com""}",,4993.0
146,Name_675,61.0,,2022-01-27,"{""address"": ""Street 44, City 4"", ""phone"": ""2531108791"", ""email"": ""email_577@example.com""}",Finance,8605.0
147,Name_419,29.0,,2022-02-20,"{""address"": ""Street 32, City 37"", ""phone"": ""9953948666"", ""email"": ""email_961@example.com""}",Marketing,1092.0
148,Name_289,,60000,2015-11-09,"{""address"": ""Street 4, City 19"", ""phone"": ""3427248332"", ""email"": ""email_165@example.com""}",HR,9698.0
149,Name_379,26.0,60000,2021-10-22,"{""address"": ""Street 11, City 50"", ""phone"": ""2773727014"", ""email"": ""email_741@example.com""}",Marketing,4333.0
150,Name_773,66.0,50000,2016-11-10,,Finance,6791.0
151,Name_490,38.0,50000,2017-10-25,"{""address"": ""Street 27, City 21"", ""phone"": ""7013661145"", ""email"": ""email_617@example.com""}",IT,
152,Name_231,65.0,50000,2019-05-20,"{""address"": ""Street 7, City 2"", ""phone"": ""1629137344"", ""email"": ""email_516@example.com""}",Finance,8603.0
153,Name_41,66.0,,2018-04-16,"{""address"": ""Street 81, City 30"", ""phone"": ""2981866051"", ""email"": ""email_385@example.com""}",,
154,Name_28,70.0,,2017-07-11,"{""address"": ""Street 16, City 38"", ""phone"": ""2311982041"", ""email"": ""email_903@example.com""}",Marketing,3520.0
155,Name_135,73.0,70000,2017-04-16,"{""address"": ""Street 86, City 38"", ""phone"": ""9206474731"", ""email"": ""email_997@example.com""}",Marketing,5319.0
156,Name_201,57.0,,2017-05-06,"{""address"": ""Street 73, City 39"", ""phone"": ""9158595381"", ""email"": ""email_138@example.com""}",IT,5572.0
157,Name_840,60.0,,2018-06-06,"{""address"": ""Street 23, City 28"", ""phone"": ""7813890787"", ""email"": ""email_234@example.com""}",IT,6049.0
158,Name_780,41.0,,2019-06-02,,HR,6005.0
159,Name_930,51.0,50000,2025-04-10,"{""address"": ""Street 89, City 34"", ""phone"": ""7145657514"", ""email"": ""email_32@example.com""}",Finance,
160,Name_33,25.0,70000,2025-03-30,"{""address"": ""Street 8, City 34"", ""phone"": ""7500867364"", ""email"": ""email_454@example.com""}",,5245.0
161,Name_48,61.0,50000,2015-10-29,"{""address"": ""Street 35, City 13"", ""phone"": ""6155074312"", ""email"": ""email_854@example.com""}",HR,8783.0
162,Name_503,70.0,50000,2020-11-23,"{""address"": ""Street 86, City 16"", ""phone"": ""2347756005"", ""email"": ""email_6@example.com""}",Finance,4958.0
163,Name_407,50.0,50000,2019-10-21,"{""address"": ""Street 86, City 22"", ""phone"": ""7202471975"", ""email"": ""email_399@example.com""}",IT,6666.0
164,Name_574,40.0,70000,,"{""address"": ""Street 78, City 15"", ""phone"": ""7065970000"", ""email"": ""email_503@example.com""}",,5222.0
165,Name_728,,70000,2015-12-05,"{""address"": ""Street 26, City 37"", ""phone"": ""9550378060"", ""email"": ""email_51@example.com""}",IT,9993.0
166,Name_805,71.0,50000,,"{""address"": ""Street 18, City 48"", ""phone"": ""7471032837"", ""email"": ""email_971@example.com""}",IT,9829.0
167,Name_99,70.0,70000,2020-04-16,"{""address"": ""Street 52, City 12"", ""phone"": ""2639467024"", ""email"": ""email_45@example.com""}",Marketing,2125.0
168,Name_684,66.0,60000,2015-12-29,"{""address"": ""Street 50, City 26"", ""phone"": ""2458952048"", ""email"": ""email_767@example.com""}",Finance,2401.0
169,Name_872,31.0,70000,2024-07-22,"{""address"": ""Street 59, City 25"", ""phone"": ""3722697989"", ""email"": ""email_758@example.com""}",HR,2977.0
170,Name_726,31.0,50000,2016-11-24,"{""address"": ""Street 44, City 34"", ""phone"": ""5768800018"", ""email"": ""email_971@example.com""}",Marketing,7831.0
171,Name_987,33.0,50000,2016-04-28,"{""address"": ""Street 57, City 28"", ""phone"": ""7421014053"", ""email"": ""email_877@example.com""}",Finance,1496.0
172,Name_547,66.0,,2015-11-18,"{""address"": ""Street 18, City 10"", ""phone"": ""3170703065"", ""email"": ""email_795@example.com""}",Finance,6703.0
173,Name_961,55.0,,2023-03-05,"{""address"": ""Street 81, City 24"", ""phone"": ""5063009470"", ""email"": ""email_476@example.com""}",Finance,3719.0
174,Name_739,75.0,50000,2016-09-27,"{""address"": ""Street 30, City 8"", ""phone"": ""7323049752"", ""email"": ""email_606@example.com""}",,4966.0
175,Name_613,77.0,60000,2024-06-28,"{""address"": ""Street 50, City 29"", ""phone"": ""4607357317"", ""email"": ""email_282@example.com""}",Marketing,7902.0
176,Name_943,56.0,,2023-06-14,"{""address"": ""Street 1, City 37"", ""phone"": ""6542238739"", ""email"": ""email_703@example.com""}",HR,3574.0
177,Name_462,43.0,50000,2024-06-06,"{""address"": ""Street 87, City 42"", ""phone"": ""2038929040"", ""email"": ""email_246@example.com""}",Marketing,2061.0
178,Name_643,43.0,,2018-09-14,,IT,4423.0
179,Name_769,18.0,,2025-07-04,"{""address"": ""Street 31, City 7"", ""phone"": ""3577395486"", ""email"": ""email_577@example.com""}",Finance,6587.0
180,Name_5,49.0,50000,2022-02-06,"{""address"": ""Street 56, City 46"", ""phone"": ""7642909092"", ""email"": ""email_107@example.com""}",IT,9057.0
181,Name_218,74.0,70000,2020-10-29,"{""address"": ""Street 59, City 33"", ""phone"": ""8605739517"", ""email"": ""email_981@example.com""}",Marketing,2902.0
182,Name_503,32.0,,2016-02-11,"{""address"": ""Street 38, City 9"", ""phone"": ""4196847382"", ""email"": ""email_279@example.com""}",HR,9622.0
183,Name_767,69.0,70000,2023-08-01,"{""address"": ""Street 69, City 15"", ""phone"": ""4057590940"", ""email"": ""email_568@example.com""}",IT,5668.0
184,Name_398,38.0,50000,2020-08-19,"{""address"": ""Street 95, City 29"", ""phone"": ""9723382047"", ""email"": ""email_12@example.com""}",IT,5362.0
185,Name_871,35.0,50000,2023-04-25,"{""address"": ""Street 28, City 12"", ""phone"": ""1427140879"", ""email"": ""email_990@example.com""}",,
186,Name_795,47.0,60000,2015-10-30,"{""address"": ""Street 93, City 3"", ""phone"": ""4695226992"", ""email"": ""email_913@example.com""}",Marketing,
187,Name_393,77.0,,2015-11-05,"{""address"": ""Street 33, City 13"", ""phone"": ""1122748643"", ""email"": ""email_214@example.com""}",IT,1492.0
188,Name_207,75.0,,,"{""address"": ""Street 73, City 4"", ""phone"": ""9360477959"", ""email"": ""email_326@example.com""}",Marketing,7615.0
189,Name_15,30.0,60000,2021-05-01,"{""address"": ""Street 45, City 19"", ""phone"": ""8674288555"", ""email"": ""email_470@example.com""}",HR,
190,Name_858,41.0,70000,2016-06-24,"{""address"": ""Street 12, City 18"", ""phone"": ""2422982319"", ""email"": ""email_512@example.com""}",IT,2075.0
191,Name_554,47.0,60000,2018-03-03,"{""address"": ""Street 84, City 26"", ""phone"": ""3476825593"", ""email"": ""email_975@example.com""}",HR,4966.0
192,Name_892,19.0,70000,2019-04-24,"{""address"": ""Street 98, City 17"", ""phone"": ""6336261968"", ""email"": ""email_608@example.com""}",IT,1966.0
